customer_id,first_name,last_name,email,gender,ip_address,city,country,address
1,Lori,Coleman,lcoleman0@sina.com.cn,Female,105.12.9.168,Wootton,United Kingdom,00 Buhler Way
2,Rebecca,Stewart,rstewart1@europa.eu,Female,2.8.245.94,Charlton,United Kingdom,2528 Gateway Center
3,Louise,Stanley,lstanley2@bbb.org,Female,159.99.38.47,Edinburgh,United Kingdom,3329 Laurel Terrace
4,Joan,Gibson,jgibson3@liveinternet.ru,Female,44.230.24.195,London,United Kingdom,8660 Jenifer Street
5,Joyce,Mills,jmills4@ucoz.com,Female,107.10.177.180,Liverpool,United Kingdom,6666 Ohio Way
6,Mildred,Sanchez,msanchez5@cocolog-nifty.com,Female,157.38.115.18,Denton,United Kingdom,03 Ruskin Parkway
7,Carl,Nichols,cnichols6@technorati.com,Male,42.12.146.44,Eaton,United Kingdom,854 Knutson Road
8,Joyce,Carr,jcarr7@clickbank.net,Female,160.143.46.240,Manchester,United Kingdom,726 Mariners Cove Way
9,Benjamin,Clark,bclark8@list-manage.com,Male,151.211.64.215,Norton,United Kingdom,4499 Pepper Wood Center
10,Daniel,Robinson,drobinson9@posterous.com,Male,77.207.121.88,Twyford,United Kingdom,68 Anniversary Lane
11,Lillian,Riley,lrileya@diigo.com,Female,33.124.47.172,Liverpool,United Kingdom,89 Clarendon Center
12,Theresa,Austin,taustinb@hubpages.com,Female,120.180.47.29,Stapleford,United Kingdom,6 Dorton Junction
13,Cheryl,Cole,ccolec@quantcast.com,Female,183.254.70.8,Newport,United Kingdom,2149 Fair Oaks Point
14,Edward,Clark,eclarkd@blogtalkradio.com,Male,223.97.33.197,Weston,United Kingdom,44 Mccormick Avenue
15,Ruby,Franklin,rfrankline@kickstarter.com,Female,187.182.107.217,Wirral,United Kingdom,5 Bartillon Circle
16,Judy,Larson,jlarsonf@technorati.com,Female,68.57.135.231,London,United Kingdom,13705 Summit Parkway
17,Deborah,Dunn,ddunng@squidoo.com,Female,104.208.105.30,Twyford,United Kingdom,749 Nelson Crossing
18,Sharon,Mendoza,smendozah@stanford.edu,Female,88.51.40.172,Whitwell,United Kingdom,64 Dexter Road
19,Jean,Alexander,jalexanderi@sun.com,Female,123.74.175.89,Norton,United Kingdom,9 Scoville Lane
20,Mary,Medina,mmedinaj@bloomberg.com,Female,88.96.58.86,Aberdeen,United Kingdom,754 Melby Plaza
21,Margaret,Hart,mhartk@mit.edu,Female,120.250.28.143,London,United Kingdom,2261 6th Pass
22,Nicholas,Garza,ngarzal@cornell.edu,Male,163.193.155.176,Birmingham,United Kingdom,8794 Schiller Street
23,Bruce,Wilson,bwilsonm@yellowbook.com,Male,202.113.227.211,Weston,United Kingdom,4783 Northport Circle
24,Christine,Campbell,ccampbelln@mashable.com,Female,78.11.95.64,Aberdeen,United Kingdom,95 Dorton Plaza
25,Cheryl,Rogers,crogerso@liveinternet.ru,Female,125.73.123.194,Newton,United Kingdom,8 Stang Street
26,Richard,Thompson,rthompsonp@biglobe.ne.jp,Male,253.180.128.2,Kinloch,United Kingdom,30 Carberry Point
27,Keith,Jones,kjonesq@myspace.com,Male,137.250.199.120,Church End,United Kingdom,95 Homewood Road
28,Gregory,Watkins,gwatkinsr@privacy.gov.au,Male,61.249.114.130,Sheffield,United Kingdom,61 Everett Place
29,Fred,Roberts,frobertss@miibeian.gov.cn,Male,84.237.101.147,Upton,United Kingdom,1 Jenifer Street
30,Charles,Kelley,ckelleyt@nasa.gov,Male,100.145.253.246,Newtown,United Kingdom,4582 Morning Lane
31,Emily,Shaw,eshawu@rambler.ru,Female,255.229.190.207,Hatton,United Kingdom,95295 Grover Crossing
32,George,Scott,gscottv@nationalgeographic.com,Male,60.245.4.12,Sheffield,United Kingdom,58965 Linden Way
33,Louis,Reed,lreedw@un.org,Male,105.113.159.55,London,United Kingdom,2 Mallory Street
34,Lawrence,Stanley,lstanleyx@mozilla.org,Male,31.217.237.153,Upton,United Kingdom,2 Morning Court
35,Jacqueline,Dean,jdeany@cafepress.com,Female,72.188.180.143,Aston,United Kingdom,23106 Namekagon Crossing
